 ,Sub Topic,Description,Url
Basic Ozone Layer Science,II. Ozone Depletion,"When chlorine and bromine atoms come into contact with ozone in the stratosphere, they destroy ozone molecules. One chlorine atom can destroy over 100,000 ozone molecules before it is removed from the stratosphere. Ozone can be destroyed more quickly than it is naturally created.Some compounds release chlorine or bromine when they are exposed to intense UV light in the stratosphere. These compounds contribute to ozone depletion, and are called ozone-depleting substances (ODSODSA compound that contributes to stratospheric ozone depletion. ODS include chlorofluorocarbons (CFCs), hydrochlorofluorocarbons (HCFCs), halons, methyl bromide, carbon tetrachloride, hydrobromofluorocarbons, chlorobromomethane, and methyl chloroform. ODS are generally very stable in the troposphere and only degrade under intense ultraviolet light in the stratosphere. When they break down, they release chlorine or bromine atoms, which then deplete ozone. A detailed list (http://www.epa.gov/ozone/science/ods/index.html) of class I and class II substances with their ODPs, GWPs, and CAS numbers are available.). ODS that release chlorine includechlorofluorocarbonschlorofluorocarbonsGases covered under the 1987 Montreal Protocol and used for refrigeration, air conditioning, packaging, insulation, solvents, or aerosol propellants. Since they are not destroyed in the lower atmosphere, CFCs drift into the upper atmosphere where, given suitable conditions, they break down ozone. These gases are being replaced by other compounds: hydrochlorofluorocarbons, an interim replacement for CFCs that are also covered under the Montreal Protocol, and hydrofluorocarbons, which are covered under the Kyoto Protocol. All these substances are also greenhouse gases. See hydrochlorofluorocarbons, hydrofluorocarbons, perfluorocarbons, ozone depleting substance.(CFCs),hydrochlorofluorocarbonshydrochlorofluorocarbonsCompounds containing hydrogen, fluorine, chlorine, and carbon atoms. Although ozone depleting substances, they are less potent at destroying stratospheric ozone than chlorofluorocarbons (CFCs). They have been introduced as temporary replacements for CFCs and are also greenhouse gases. See ozone depleting substance.(HCFCs),carbon tetrachloridecarbon tetrachlorideA compound consisting of one carbon atom and four chlorine atoms. Carbon tetrachloride was widely used as a raw material in many industrial uses, including the production of chlorofluorocarbons (CFCs), and as a solvent. Solvent use ended when it was discovered to be carcinogenic. It is also used as a catalyst to deliver chlorine ions to certain processes. Its ozone depletion potential is 1.2., andmethyl chloroformmethyl chloroformA compound consisting of carbon, hydrogen, and chlorine. Methyl chloroform is used as an industrial solvent. Its ozone depletion potential is 0.11.. ODS that release bromine includehalonshalonsCompounds, also known as bromofluorocarbons, that contain bromine, fluorine, and carbon. They are generally used as fire extinguishing agents and cause ozone depletion. Bromine is many times more effective at destroying stratospheric ozone than chlorine. See ozone depleting substance.andmethyl bromidemethyl bromideA compound consisting of carbon, hydrogen, and bromine. Methyl Bromide is an effective pesticide used to fumigate soil and many agricultural products. Because it contains bromine, it depletes stratospheric ozone and has an ozone depletion potential of 0.6. Production of methyl bromide was phased out on December 31, 2004, except for allowable exemptions. Much more information is available (http://www.epa.gov/ozone/mbr/index.html).. Although ODS are emitted at the Earth’s surface, they are eventually carried into the stratosphere in a process that can take as long as two to five years.In the 1970s, concerns about the effects of ozone-depleting substances (ODSODSA compound that contributes to stratospheric ozone depletion. ODS include chlorofluorocarbons (CFCs), hydrochlorofluorocarbons (HCFCs), halons, methyl bromide, carbon tetrachloride, hydrobromofluorocarbons, chlorobromomethane, and methyl chloroform. ODS are generally very stable in the troposphere and only degrade under intense ultraviolet light in the stratosphere. When they break down, they release chlorine or bromine atoms, which then deplete ozone. A detailed list (http://www.epa.gov/ozone/science/ods/index.html) of class I and class II substances with their ODPs, GWPs, and CAS numbers are available.) on the stratosphericozone layerozone layerThe region of the stratosphere containing the bulk of atmospheric ozone. The ozone layer lies approximately 15-40 kilometers (10-25 miles) above the Earth's surface, in the stratosphere. Depletion of this layer by ozone depleting substances (ODS) will lead to higher UVB levels, which in turn will cause increased skin cancers and cataracts and potential damage to some marine organisms, plants, and plastics. The science page (http://www.epa.gov/ozone/science/index.html) offers much more detail on the science of ozone depletion.prompted several countries, including the United States, to ban the use of chlorofluorocarbons (CFCsCFCsOrganic compounds made up of atoms of carbon, chlorine, and fluorine. An example is CFC-12 (CCI2F2), used as a refrigerant in refrigerators and air conditioners and as a foam blowing agent. Gaseous CFCs can deplete the ozone layer when they slowly rise into the stratosphere, are broken down by strong ultraviolet radiation, release chlorine atoms, and then react with ozone molecules. See Ozone Depleting Substance.) asaerosolaerosolA small droplet or particle suspended in the atmosphere, typically containing sulfur. Aerosols are emitted naturally (e.g., in volcanic eruptions) and as the result of human activities (e.g., by burning fossil fuels). There is no connection between particulate aerosols and pressurized products also called aerosols. (See below)propellants. However, global production of CFCs and other ODS continued to grow rapidly as new uses were found for these chemicals in refrigeration, fire suppression, foam insulation, and other applications.Some natural processes, such as large volcanic eruptions, can have an indirect effect on ozone levels. For example, Mt. Pinatubo's 1991 eruption did not increase stratospheric chlorine concentrations, but it did produce large amounts of tiny particles calledaerosolsaerosolsSmall particles or liquid droplets in the atmosphere that can absorb or reflect sunlight depending on their composition.(different from consumer products also known as aerosols). These aerosols increase chlorine's effectiveness at destroying ozone. The aerosols in the stratosphere create a surface on which CFC-based chlorine can destroy ozone. However, the effect from volcanoes is short-lived.Not all chlorine and bromine sources contribute to ozone layer depletion. For example, researchers have found that chlorine from swimming pools, industrial plants, sea salt, and volcanoes does not reach the stratosphere. In contrast, ODS are very stable and do not dissolve in rain. Thus, there are no natural processes that remove the ODS from the lower atmosphere.One example of ozone depletion is theannual ozone ""hole"" over Antarcticathat has occurred during the Antarctic spring since the early 1980s. This is not really a hole through the ozone layer, but rather a large area of the stratosphere with extremely low amounts of ozone.Ozone depletion is not limited to the area over the South Pole. Research has shown that ozone depletion occurs over the latitudes that include North America, Europe, Asia, and much of Africa, Australia, and South America. More information about the global extent of ozone depletion can be found in theScientific Assessment of Ozone Depletion: 2018developed by the United Nations Environment Programme.",https://www.epa.gov/ozone-layer-protection/health-and-environmental-effects-ozone-layer-depletion
Acid Rain,The Effects of Acid Rain on Ecosystems,,https://www.epa.gov/acidrain/effects-acid-rain
Acid Rain,Effects of Acid Rain on Fish and Wildlife,"The ecological effects of acid rain are most clearly seen in aquatic environments, such as streams, lakes, and marshes where it can be harmful to fish and other wildlife. As it flows through the soil, acidic rain water can leach aluminum from soil clay particles and then flow into streams and lakes. The more acid that is introduced to the ecosystem, the more aluminum is released.Some types of plants and animals are able to tolerate acidic waters and moderate amounts of aluminum. Others, however, are acid-sensitive and will be lost as the pH declines. Generally, the young of most species are more sensitive to environmental conditions than adults. At pH 5, most fish eggs cannot hatch. At lower pH levels, some adult fish die. Some acidic lakes have no fish. Even if a species of fish or animal can tolerate moderately acidic water, the animals or plants it eats might not. For example, frogs have a critical pH around 4, but the mayflies they eat are more sensitive and may not survive pH below 5.5.",https://www.epa.gov/acidrain/effects-acid-rain
Acid Rain,Effects of Acid Rain on Plants and Trees,"Dead or dying trees are a common sight in areas effected by acid rain. Acid rain leaches aluminum from the soil.  That aluminum may be harmful to plants as well as animals. Acid rain also removes minerals and nutrients from the soil that trees need to grow.At high elevations, acidic fog and clouds might strip nutrients from trees’ foliage, leaving them with brown or dead leaves and needles. The trees are then less able to absorb sunlight, which makes them weak and less able to withstand freezing temperatures.",https://www.epa.gov/acidrain/effects-acid-rain
Acid Rain,Buffering Capacity,"Many forests, streams, and lakes that experience acid rain don’t suffer effects because the soil in those areas canbufferthe acid rain by neutralizing the acidity in the rainwater flowing through it. This capacity depends on the thickness and composition of the soil and the type of bedrock underneath it. In areas such as mountainous parts of the Northeast United States, the soil is thin and lacks the ability to adequately neutralize the acid in the rain water. As a result, these areas are particularly vulnerable and the acid and aluminum can accumulate in the soil, streams, or lakes.",https://www.epa.gov/acidrain/effects-acid-rain
Acid Rain,Episodic Acidification,"Melting snow and heavy rain downpours can result in what is known as episodic acidification. Lakes that do not normally have a high level of acidity may temporarily experience effects of acid rain when the melting snow or downpour brings greater amounts of acidic deposition and the soil can’t buffer it. This short duration of higher acidity (i.e., lower pH) can result in a short-term stress on the ecosystem where a variety of organisms or species may be injured or killed.",https://www.epa.gov/acidrain/effects-acid-rain
Acid Rain,Nitrogen Pollution,"It’s not just the acidity of acid rain that can cause problems. Acid rain also contains nitrogen, and this can have an impact on some ecosystems. For example, nitrogen pollution in our coastal waters is partially responsible for declining fish and shellfish populations in some areas. In addition to agriculture and wastewater, much of the nitrogen produced by human activity that reaches coastal waters comes from the atmosphere.",https://www.epa.gov/acidrain/effects-acid-rain
Acid Rain,Effects of Acid Rain on Materials,"Not all acidic deposition iswet. Sometimes dust particles can become acidic as well, and this is calleddry deposition. When acid rain and dry acidic particles fall to earth, the nitric and sulfuric acid that make the particles acidic can land on statues, buildings, and other manmade structures, and damage their surfaces. The acidic particles corrode metal and cause paint and stone to deteriorate more quickly. They also dirty the surfaces of buildings and other structures such as monuments.The consequences of this damage can be costly:",https://www.epa.gov/acidrain/effects-acid-rain
Acid Rain,Other Effects of SO2 and NOX,,https://www.epa.gov/acidrain/effects-acid-rain
Acid Rain,Visibility,"In the atmosphere, SO2and NOXgases can be transformed into sulfate and nitrate particles, while some NOXcan also react with other pollutants to form ozone. These particles and ozone make the air hazy and difficult to see through. This affects our enjoyment of national parks that we visit for the scenic view such as Shenandoah and the Great Smoky Mountains.",https://www.epa.gov/acidrain/effects-acid-rain
Acid Rain,Human Health,"Walking in acid rain, or even swimming in a lake affected by acid rain, is no more dangerous to humans than walking in normal rain or swimming in non-acidic lakes. However, when the pollutants that cause acid rain —SO2and NOX,as well as sulfate and nitrate particles— are in the air, they can be harmful to humans.SO2and NOXreact in the atmosphere to form fine sulfate and nitrate particles that people can inhale into their lungs.  Many scientific studies have shown a relationship between these particles and effects on heart function, such as heart attacks resulting in death for people with increased heart disease risk, and effects on lung function, such as breathing difficulties for people with asthma.Learn more about:",https://www.epa.gov/acidrain/effects-acid-rain
CLIMATE CHANGE,The climate crisis,"Further warming of our atmosphere is now impossible to avoid. The effects of that warming will depend on how high and how fast the temperature rises. Global warming changes weather patterns, causing severe weather events, heatwaves, droughts and floods.Climate change is already shrinking glaciers and ice caps, altering the availability of fresh water. It contributes to ocean acidification, destroying coral reefs and other aquatic ecosystems. It makes places uninhabitable for some plants and animals, leading to extinctions and redistribution of species, threatening food production with alien pests and diseases.For many people in the world, the impacts of climate change are already here: extreme weather events like the Australian bush fires and floods in Kenya devastate lives, while critical impacts on agriculture such as through soil degradation and unseasonal weather lead to unpredictable and unstable crop yields – especially dangerous for the poorest.Its potential human cost is catastrophic. A rise in sea levels threatens hundreds of millions of people incoastal communities and cities across the globe. Food and water shortages and conflict over productive land will arise, while progress in global health could be rolled back by communicable diseases such as malaria reaching places they never existed before. Hundreds of millions of people are likely to be forced to migrate from their homes by 2050.",CLIMATE CHANGE
CLIMATE CHANGE,Climate change action,"There are multiple drivers of the climate crisis, amongst which population is only one. Overwhelmingly, emissions are produced by people in the richest countries, and industrial development and consumption patterns in the Global North are primarily responsible for the crisis we are in today. Technological solutions,personal lifestyle changes, policies to end fossil fuel use and develop alternative energy and potentially fundamental changes toour economic sytemsare all vital, especially as the timescale for preventing catastrophic climate change is so short – now less than a decade, according to the IPCC.Whatever other changes we make, however, their positive impacts will be reduced and may even be completely cancelled out by adding emissions from hundreds of millions of new people as our population increases.According to2020 researchevaluating 44 countries, emissions arising as a result of population growth wiped out two-thirds of the reduction in emissions arising from greater energy efficiency between 1990 and 2019. Meanwhile, solutions such as reforestation may be more difficult to implement with more people needing food and land. In its landmark2018 report, the Intergovernmental Panel on Climate Change specifically identified high population growth as a “key impediment” to hitting the critical target of limiting global warming to 1.5°C above pre-industrial levels.Reducing the number of people being born is not a panacea for climate change, but it cuts future carbon emissions, effectively, simply and permanently, and it boosts the effectiveness of other solutions.Most importantly, it can be achieved through positive actions which empower people and improve lives.",CLIMATE CHANGE
CLIMATE CHANGE,Individual actions,"A study published in 2017 by the Universities of Lund and British Columbia suggested that the single most effective measure an individual in the Global North could take to cut their carbon emissions over the long term could be to have one fewer child. The study relied on estimates of future per capita climate emissions which are likely to change significantly, so it must be treated with caution. Illustrative figures produced by the authors suggested, however, that it could be significantly more effective than any other method in saving climate emissions. (For more information on the study and its methodology, clickhere.)All the benefits of this action are not immediate and it does not mean that we should not take other actions to cut our individual carbon footprints, of course.",CLIMATE CHANGE
CLIMATE CHANGE,Global policy,"The 2019Scientists’ Warning of a Climate Emergency,signed by more than 13,000 scientists from around the world, explicitly calls for “bold and drastic transformations” regarding both economic and population policies, including making family planning services available to all and achieving full gender equity.Project Drawdownis a landmark, rolling study that evaluates practical and economically realistic solutions which can help control and reverse global warming. In 2022, it analysed 93 policy options, such as plant-based diets, wind farms and electric vehicles, and identifiedfamily planning and universal educationas  amongthe top 10 workable solutions to combat climate changeavailable.By helping to bend population growth down, Drawdown calculates that this joint solution would reduce CO2 emissions by68.9 gigatonnesby 2050 – more than onshore and offshore wind turbines combined.",CLIMATE CHANGE
CLIMATE CHANGE,A message for COP26 delegates,,CLIMATE CHANGE
CLIMATE CHANGE,Population action,"The world’s richest 10% of people are responsible for aroundhalf of all emissions. People choosing to havesmaller familiesin the richest parts of the world will have the greatest and most immediate positive effect – a vital choice given the urgency to address which climate change. Furthermore, reduced emissions as a result of fewer people being born in richer countries allows more economic development in poorer countries without adding to total emissions.",CLIMATE CHANGE
CLIMATE CHANGE,Population growth must be addressed in all countries to tackle climate change.,"Theethical, effective meansof achieving a sustainable population empower people and improve lives. Family planning, girls’ education and other measures toempower womenare not just essential for individuals’ wellbeing, but help communities and nations. Tackling poverty through greaterglobal justicefrees people from the conditions which often drive large family size, as well as helping to provide lives of dignity and security.In the Global North in particular, choosingsmaller familiescan be a vital part of the steps we take to reduce our emissions and impact. All these measures will help reduce family size and bring population growth to an end as soon as possible – giving us all the best chance of limiting climate change and protecting the next generation.",CLIMATE CHANGE
CLIMATE CHANGE,The climate crisis,"Further warming of our atmosphere is now impossible to avoid. The effects of that warming will depend on how high and how fast the temperature rises. Global warming changes weather patterns, causing severe weather events, heatwaves, droughts and floods.Climate change is already shrinking glaciers and ice caps, altering the availability of fresh water. It contributes to ocean acidification, destroying coral reefs and other aquatic ecosystems. It makes places uninhabitable for some plants and animals, leading to extinctions and redistribution of species, threatening food production with alien pests and diseases.For many people in the world, the impacts of climate change are already here: extreme weather events like the Australian bush fires and floods in Kenya devastate lives, while critical impacts on agriculture such as through soil degradation and unseasonal weather lead to unpredictable and unstable crop yields – especially dangerous for the poorest.Its potential human cost is catastrophic. A rise in sea levels threatens hundreds of millions of people incoastal communities and cities across the globe. Food and water shortages and conflict over productive land will arise, while progress in global health could be rolled back by communicable diseases such as malaria reaching places they never existed before. Hundreds of millions of people are likely to be forced to migrate from their homes by 2050.",https://populationmatters.org/climate-change/
CLIMATE CHANGE,Climate change action,"There are multiple drivers of the climate crisis, amongst which population is only one. Overwhelmingly, emissions are produced by people in the richest countries, and industrial development and consumption patterns in the Global North are primarily responsible for the crisis we are in today. Technological solutions,personal lifestyle changes, policies to end fossil fuel use and develop alternative energy and potentially fundamental changes toour economic sytemsare all vital, especially as the timescale for preventing catastrophic climate change is so short – now less than a decade, according to the IPCC.Whatever other changes we make, however, their positive impacts will be reduced and may even be completely cancelled out by adding emissions from hundreds of millions of new people as our population increases.According to2020 researchevaluating 44 countries, emissions arising as a result of population growth wiped out two-thirds of the reduction in emissions arising from greater energy efficiency between 1990 and 2019. Meanwhile, solutions such as reforestation may be more difficult to implement with more people needing food and land. In its landmark2018 report, the Intergovernmental Panel on Climate Change specifically identified high population growth as a “key impediment” to hitting the critical target of limiting global warming to 1.5°C above pre-industrial levels.Reducing the number of people being born is not a panacea for climate change, but it cuts future carbon emissions, effectively, simply and permanently, and it boosts the effectiveness of other solutions.Most importantly, it can be achieved through positive actions which empower people and improve lives.",https://populationmatters.org/climate-change/
CLIMATE CHANGE,Individual actions,"A study published in 2017 by the Universities of Lund and British Columbia suggested that the single most effective measure an individual in the Global North could take to cut their carbon emissions over the long term could be to have one fewer child. The study relied on estimates of future per capita climate emissions which are likely to change significantly, so it must be treated with caution. Illustrative figures produced by the authors suggested, however, that it could be significantly more effective than any other method in saving climate emissions. (For more information on the study and its methodology, clickhere.)All the benefits of this action are not immediate and it does not mean that we should not take other actions to cut our individual carbon footprints, of course.",https://populationmatters.org/climate-change/
CLIMATE CHANGE,Global policy,"The 2019Scientists’ Warning of a Climate Emergency,signed by more than 13,000 scientists from around the world, explicitly calls for “bold and drastic transformations” regarding both economic and population policies, including making family planning services available to all and achieving full gender equity.Project Drawdownis a landmark, rolling study that evaluates practical and economically realistic solutions which can help control and reverse global warming. In 2022, it analysed 93 policy options, such as plant-based diets, wind farms and electric vehicles, and identifiedfamily planning and universal educationas  amongthe top 10 workable solutions to combat climate changeavailable.By helping to bend population growth down, Drawdown calculates that this joint solution would reduce CO2 emissions by68.9 gigatonnesby 2050 – more than onshore and offshore wind turbines combined.",https://populationmatters.org/climate-change/
CLIMATE CHANGE,A message for COP26 delegates,,https://populationmatters.org/climate-change/
CLIMATE CHANGE,Population action,"The world’s richest 10% of people are responsible for aroundhalf of all emissions. People choosing to havesmaller familiesin the richest parts of the world will have the greatest and most immediate positive effect – a vital choice given the urgency to address which climate change. Furthermore, reduced emissions as a result of fewer people being born in richer countries allows more economic development in poorer countries without adding to total emissions.",https://populationmatters.org/climate-change/
CLIMATE CHANGE,Population growth must be addressed in all countries to tackle climate change.,"Theethical, effective meansof achieving a sustainable population empower people and improve lives. Family planning, girls’ education and other measures toempower womenare not just essential for individuals’ wellbeing, but help communities and nations. Tackling poverty through greaterglobal justicefrees people from the conditions which often drive large family size, as well as helping to provide lives of dignity and security.In the Global North in particular, choosingsmaller familiescan be a vital part of the steps we take to reduce our emissions and impact. All these measures will help reduce family size and bring population growth to an end as soon as possible – giving us all the best chance of limiting climate change and protecting the next generation.",https://populationmatters.org/climate-change/
